Order Date,State,Region,Sub-Category,Product Name,Sales,Quantity,Profit
11/8/2016,Kentucky,South,Bookcases,Bush Somerset Collection Bookcase,261.96,2,41.9136
11/8/2016,Kentucky,South,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,219.582
6/12/2016,California,West,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.8714
10/11/2015,Florida,South,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,-383.031
10/11/2015,Florida,South,Storage,Eldon Fold 'N Roll Cart System,22.368,2,2.5164
6/9/2014,California,West,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694
6/9/2014,California,West,Art,Newell 322,7.28,4,1.9656
6/9/2014,California,West,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,90.7152
6/9/2014,California,West,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.7825
6/9/2014,California,West,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
6/9/2014,California,West,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,85.3092
6/9/2014,California,West,Phones,Konftel 250 Conferenceÿphoneÿ- Charcoal black,911.424,4,68.3568
4/15/2017,North Carolina,South,Paper,Xerox 1967,15.552,3,5.4432
12/5/2016,Washington,West,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922
11/22/2015,Texas,Central,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858
11/22/2015,Texas,Central,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,-3.816
11/11/2014,Wisconsin,Central,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,13.3176
5/13/2014,Utah,West,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99
8/27/2014,California,West,Art,Newell 341,8.56,2,2.4824
8/27/2014,California,West,Phones,Cisco SPA 501G IP Phone,213.48,3,16.011
8/27/2014,California,West,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384
12/9/2016,Nebraska,Central,Art,Newell 318,19.46,7,5.0596
12/9/2016,Nebraska,Central,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,15.6884
7/16/2017,Pennsylvania,East,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,-1.0196
9/25/2015,Utah,West,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.2649
1/16/2016,California,West,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224
1/16/2016,California,West,Accessories,Imationÿ8GB Mini TravelDrive USB 2.0ÿFlash Drive,90.57,3,11.7741
9/17/2015,Pennsylvania,East,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,-1665.0522
9/17/2015,Pennsylvania,East,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,-7.0532
9/17/2015,Pennsylvania,East,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,15.525
9/17/2015,Pennsylvania,East,Envelopes,Poly String Tie Envelopes,3.264,2,1.1016
9/17/2015,Pennsylvania,East,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,9.7092
9/17/2015,Pennsylvania,East,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,-5.715
9/17/2015,Pennsylvania,East,Art,Lumber Crayons,15.76,2,3.546
10/19/2017,Texas,Central,Paper,Easy-staple paper,29.472,3,9.9468
12/8/2016,Texas,Central,Phones,GE 30524EE4,1097.544,7,123.4737
12/8/2016,Texas,Central,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,-147.963
12/27/2015,Texas,Central,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,35.415
12/27/2015,Texas,Central,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,-46.9764
12/27/2015,Texas,Central,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,-15.147
12/27/2015,Texas,Central,Phones,Plantronics HL10 Handset Lifter,371.168,4,41.7564
9/10/2017,Illinois,Central,Phones,Panasonic Kx-TS550,147.168,4,16.5564
7/17/2016,California,West,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.894
9/19/2017,Florida,South,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,9.5616
3/11/2016,Minnesota,Central,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714
3/11/2016,Minnesota,Central,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.2062
10/20/2014,Michigan,Central,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,8.4784
6/20/2016,Delaware,East,Accessories,Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive,45,3,4.95
6/20/2016,Delaware,East,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,6.104
4/18/2015,Indiana,Central,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,17.9634
4/18/2015,Indiana,Central,Labels,Avery 485,75.18,6,35.3346
4/18/2015,Indiana,Central,Furnishings,Longer-Life Soft White Bulbs,6.16,2,2.9568
4/18/2015,Indiana,Central,Chairs,"Global Leather Task Chair, Black",89.99,1,17.0981
12/11/2016,New York,East,Fasteners,Advantus Push Pins,15.26,7,6.2566
12/11/2016,New York,East,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,298.6855
6/17/2016,New York,East,Storage,Home/Office Personal File Carts,208.56,6,52.14
6/17/2016,New York,East,Paper,Xerox 232,32.4,5,15.552
6/17/2016,New York,East,Chairs,Novimex Turbo Task Chair,319.41,5,7.098
6/17/2016,New York,East,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,6.9888
6/17/2016,New York,East,Accessories,Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive,30,2,3.3
6/17/2016,New York,East,Binders,Plastic Binding Combs,48.48,4,16.362
6/17/2016,New York,East,Art,Prang Dustless Chalk Sticks,1.68,1,0.84
11/24/2015,California,West,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.1512
11/24/2015,California,West,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,9.3612
11/24/2015,California,West,Paper,Xerox 1943,146.73,3,68.9631
11/24/2015,California,West,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,22.3328
4/30/2015,Illinois,Central,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,-15.2225
12/5/2014,Arizona,West,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,111.3024
12/5/2014,Arizona,West,Phones,netTALK DUO VoIP Telephone Service,167.968,4,62.988
6/4/2016,Virginia,South,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,35.6636
9/18/2016,New York,East,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731
9/14/2017,Michigan,Central,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,8.763
4/26/2015,Tennessee,South,Chairs,High-Back Leather Manager's Chair,831.936,8,-114.3912
4/26/2015,Tennessee,South,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,1.213
4/26/2015,Tennessee,South,Storage,Safco Industrial Wire Shelving System,72.784,1,-18.196
12/9/2017,Texas,Central,Binders,Economy Binders,1.248,3,-1.9344
12/9/2017,Texas,Central,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,-5.8248
12/9/2017,Texas,Central,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,2.724
11/26/2014,Texas,Central,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,-14.475
6/12/2016,Alabama,South,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,56.2032
6/12/2016,Alabama,South,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,8.0352
10/12/2014,California,West,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.172
10/12/2014,California,West,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,6.2031
9/3/2015,North Carolina,South,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,62.8075
